Greek (raw TSV),Normalized variants (keys),English from TSV
Πόσο κάνει ...;,ποσο κανει,Uploaded
Η μουσική,μουσικη,Uploaded
Ορίστε,οριστε,Uploaded
Το περίπτερο,περιπτερο,Uploaded
Ο περιπτεράς,περιπτερας,Uploaded
Αγοράζω,αγοραζω,Uploaded
Πληρώνω,πληρωνω,Uploaded
Τα λεφτά,λεφτα,Uploaded
Τα ρέστα,ρεστα,Uploaded
Τα ψιλά,ψιλα,Uploaded
Το περιοδικό,περιοδικο,Uploaded
Το γραμματόσημο,γραμματοσημο,Uploaded
Η κάρτα,καρτα,Uploaded
Το τσιγάρο,τσιγαρο,Uploaded
Ένα πακέτο τσιγάρα,ενα πακετο τσιγαρα,Uploaded
Ο χάρτης,χαρτης,Uploaded
Το μολύβι,μολυβι,Uploaded
Γιατί,γιατι,Uploaded
Ένα ευρώ,ενα ευρω,Uploaded
Το ψωμί,ψωμι,Uploaded
Ο χυμός,χυμος,Uploaded
Η τσίχλα,τσιχλα,Uploaded
Η πορτοκαλάδα,πορτοκαλαδα,Uploaded
Η κούκλα,κουκλα,Uploaded
Το νησί,νησι,Uploaded
Το χιόνι,χιονι,Uploaded
Το λουλούδι,λουλουδι,Uploaded
Η οικογένεια,οικογενεια,Uploaded
Το πορτοφόλι,πορτοφολι,Uploaded
Το φαγητό,φαγητο,Uploaded
Ο δρόμος,δρομος,Uploaded
Η οδός,οδος,Uploaded
Το νοσοκομείο,νοσοκομειο,Uploaded
Το εστιατόριο,εστιατοριο,Uploaded
Το πανεπιστήμιο,πανεπιστημιο,Uploaded
Η δουλειά,δουλεια,Uploaded
Το γραφείο,γραφειο,Uploaded
Το ταχυδρομείο,ταχυδρομειο,Uploaded
Ευθεία,ευθεια,Uploaded
Η εβδομάδα,εβδομαδα,Uploaded
Η Δευτέρα,δευτερα,Uploaded
Η Τρίτη,τριτη,Uploaded
Η Τετάρτη,τεταρτη,Uploaded
Η Πέμπτη,πεμπτη,Uploaded
Η Παρασκευή,παρασκευη,Uploaded
Το Σάββατο,σαββατο,Uploaded
Η Κυριακή,κυριακη,Uploaded
Το σαββατοκύριακο,σαββατοκυριακο,Uploaded
Πώς το λένε αυτό στα ελληνικά;,πως το λενε αυτο στα ελληνικα,Uploaded
Το γάλα,γαλα,Uploaded
Η σπανακόπιτα,σπανακοπιτα,Uploaded
