τελεία	.
κόμμα	,
δύο τελείες	:
άνω τελεία	·
ερωτηματικό	;
θαυμαστικό	!
εισαγωγικά	« » “ ” " ‘ ’ '
απόστροφος	’ '
διαλυτικά	¨
τόνος	΄
ενωτικό	‐
παύλα	—
αποσιωπητικά	…
παρένθεση	( )
αγκύλη	[ ]
άγκιστρο	{ }
ομοιωματικά	» : 〃
